%Mean HIS spectrum for Band 1 and standard deviation. 
%   24 individual spectra used in the average.
%
%     wavenumber       radiance          1 standard deviation
% data obtained from http://deluge.ssec.wisc.edu/~his/his/his.html
     642.771120        0.043081        0.000661 
     643.046632        0.041878        0.000677 
     643.322145        0.042470        0.000754 
     643.597658        0.042653        0.000760 
     643.873170        0.041198        0.000832 
     644.148683        0.040543        0.000897 
     644.424196        0.043331        0.000861 
     644.699708        0.040900        0.000779 
     644.975221        0.043026        0.000921 
     645.250734        0.043684        0.000742 
     645.526247        0.039631        0.000755 
     645.801759        0.043954        0.001046 
     646.077272        0.041284        0.000790 
     646.352785        0.040862        0.000806 
     646.628297        0.043254        0.000803 
     646.903810        0.040146        0.000903 
     647.179323        0.042605        0.000634 
     647.454835        0.043307        0.000665 
     647.730348        0.041062        0.000746 
     648.005861        0.040960        0.000888 
     648.281374        0.041489        0.000775 
     648.556886        0.043346        0.000559 
     648.832399        0.045155        0.000701 
     649.107912        0.043673        0.000716 
     649.383424        0.041529        0.000870 
     649.658937        0.041057        0.000664 
     649.934450        0.039725        0.000711 
     650.209962        0.041745        0.000841 
     650.485475        0.043803        0.000869 
     650.760988        0.041603        0.000659 
     651.036501        0.040275        0.000814 
     651.312013        0.039495        0.000798 
     651.587526        0.040277        0.000907 
     651.863039        0.042998        0.000777 
     652.138551        0.042674        0.000704 
     652.414064        0.040550        0.000550 
     652.689577        0.040374        0.000952 
     652.965089        0.039480        0.000653 
     653.240602        0.041674        0.000762 
     653.516115        0.043622        0.000878 
     653.791628        0.040329        0.000686 
     654.067140        0.040816        0.000754 
     654.342653        0.039859        0.000821 
     654.618166        0.039967        0.000423 
     654.893678        0.043472        0.000840 
     655.169191        0.042157        0.000889 
     655.444704        0.040585        0.000675 
     655.720216        0.039750        0.000935 
     655.995729        0.039215        0.000659 
     656.271242        0.040819        0.000572 
     656.546755        0.043189        0.000899 
     656.822267        0.041314        0.000604 
     657.097780        0.039752        0.000522 
     657.373293        0.040050        0.000563 
     657.648805        0.038670        0.000509 
     657.924318        0.042408        0.000680 
     658.199831        0.042893        0.000688 
     658.475343        0.039428        0.000589 
     658.750856        0.039806        0.000493 
     659.026369        0.039155        0.000610 
     659.301882        0.040498        0.000590 
     659.577394        0.043012        0.000708 
     659.852907        0.041343        0.000654 
     660.128420        0.039582        0.000686 
     660.403932        0.039879        0.000426 
     660.679445        0.039204        0.000559 
     660.954958        0.041092        0.000492 
     661.230470        0.042918        0.000429 
     661.505983        0.039638        0.000565 
     661.781496        0.039411        0.000645 
     662.057009        0.039324        0.000477 
     662.332521        0.040371        0.000483 
     662.608034        0.043644        0.000630 
     662.883547        0.041627        0.000668 
     663.159059        0.040247        0.000629 
     663.434572        0.039801        0.000500 
     663.710085        0.038778        0.000545 
     663.985597        0.039893        0.000459 
     664.261110        0.041520        0.000502 
     664.536623        0.039953        0.000443 
     664.812136        0.038977        0.000561 
     665.087648        0.040626        0.000614 
     665.363161        0.038866        0.000398 
     665.638674        0.039705        0.000425 
     665.914186        0.040596        0.000333 
     666.189699        0.038353        0.000541 
     666.465212        0.039189        0.000388 
     666.740724        0.039561        0.000399 
     667.016237        0.040711        0.000407 
     667.291750        0.043069        0.000373 
     667.567263        0.045862        0.000597 
     667.842775        0.044699        0.000848 
     668.118288        0.044020        0.000440 
     668.393801        0.044253        0.000512 
     668.669313        0.042896        0.000783 
     668.944826        0.042830        0.000448 
     669.220339        0.041798        0.000660 
     669.495851        0.041944        0.000561 
     669.771364        0.042525        0.000505 
     670.046877        0.040535        0.000599 
     670.322390        0.039541        0.000433 
     670.597902        0.038589        0.000429 
     670.873415        0.038914        0.000454 
     671.148928        0.041096        0.000515 
     671.424440        0.041512        0.000623 
     671.699953        0.038952        0.000422 
     671.975466        0.037866        0.000421 
     672.250978        0.038308        0.000377 
     672.526491        0.038867        0.000436 
     672.802004        0.041837        0.000411 
     673.077517        0.040734        0.000391 
     673.353029        0.038341        0.000446 
     673.628542        0.038422        0.000408 
     673.904055        0.037873        0.000439 
     674.179567        0.039817        0.000359 
     674.455080        0.041618        0.000402 
     674.730593        0.039899        0.000487 
     675.006105        0.038138        0.000351 
     675.281618        0.037596        0.000419 
     675.557131        0.038121        0.000567 
     675.832644        0.040878        0.000242 
     676.108156        0.041866        0.000696 
     676.383669        0.039053        0.000453 
     676.659182        0.038233        0.000345 
     676.934694        0.037593        0.000599 
     677.210207        0.038427        0.000413 
     677.485720        0.041192        0.000477 
     677.761232        0.040657        0.000449 
     678.036745        0.038768        0.000354 
     678.312258        0.037593        0.000305 
     678.587771        0.037795        0.000484 
     678.863283        0.039080        0.000335 
     679.138796        0.041477        0.000582 
     679.414309        0.040398        0.000549 
     679.689821        0.037643        0.000363 
     679.965334        0.037735        0.000360 
     680.240847        0.037308        0.000366 
     680.516359        0.039549        0.000395 
     680.791872        0.041317        0.000380 
