sample1,,sample2,
Wavelength (nm),%T,Wavelength (nm),%T
2149.4,28.82701492,2149.4,28.99054909
2149.3,29.49630356,2149.3,29.72198486
2149.2,30.07971382,2149.2,30.21598816
2149.1,30.71421432,2149.1,30.92243576
2149.0,31.37446022,2149.0,31.5962944
2148.9,32.03499222,2148.9,32.26141739
2148.8,32.86826706,2148.8,33.10431671
2148.7,33.49065781,2148.7,33.80051804
2148.6,34.26916122,2148.6,34.60966492
2148.5,34.86680222,2148.5,35.20713043
2148.4,35.62623215,2148.4,36.05319595
2148.3,36.28731537,2148.3,36.74385452
2148.2,36.93603516,2148.2,37.3669014
2148.1,37.5398941,2148.1,37.92356873
2148.0,38.61545944,2148.0,38.9911232
2147.9,39.22624969,2147.9,39.75772858
2147.8,39.91868973,2147.8,40.47980499
2147.7,40.54610825,2147.7,41.21094131
2147.6,41.38828278,2147.6,42.08017731
2147.5,42.15071106,2147.5,42.74533463
2147.4,42.67541122,2147.4,43.30331039
2147.3,43.39510727,2147.3,44.0560379
2147.2,44.02732849,2147.2,44.68054581
2147.1,44.92843628,2147.1,45.59436417
2147.0,45.4717598,2147.0,46.30528641
2146.9,46.33166885,2146.9,47.12141037
2146.8,46.97266388,2146.8,47.76656342
2146.7,47.75445175,2146.7,48.5588913
2146.6,48.44440842,2146.6,49.25410461
2146.5,48.9958992,2146.5,49.88116455
2146.4,49.55065155,2146.4,50.40579987
2146.3,50.46493912,2146.3,51.34287643
2146.2,51.21456909,2146.2,52.26680756
2146.1,51.7956543,2146.1,52.75579071
2146.0,52.515625,2146.0,53.55823517
2145.9,53.08911896,2145.9,54.21524048
2145.8,53.84647751,2145.8,54.91422272
2145.7,54.37724686,2145.7,55.50083923
2145.6,54.92337799,2145.6,56.14647675
2145.5,55.40884018,2145.5,56.5953331
2145.4,56.25494766,2145.4,57.51520538
2145.3,56.88951111,2145.3,58.12386322
2145.2,57.53562546,2145.2,58.8026123
2145.1,58.11413574,2145.1,59.46807861
2145.0,58.67804718,2145.0,60.0984993
2144.9,59.3604393,2144.9,60.73256302
2144.8,59.8483429,2144.8,61.20023727
2144.7,60.26452637,2144.7,61.72930527
2144.6,60.85453796,2144.6,62.38918304
2144.5,61.69062805,2144.5,63.06907654
2144.4,62.1748085,2144.4,63.69215775
2144.3,62.67035675,2144.3,64.23082733
2144.2,63.1237793,2144.2,64.713974
2144.1,63.76469803,2144.1,65.29201508
2144.0,64.14657593,2144.0,65.77862549
2143.9,64.54621887,2143.9,66.2171936
2143.8,64.94817352,2143.8,66.59127808
2143.7,65.74539185,2143.7,67.2999115
2143.6,66.08432007,2143.6,67.82944489
2143.5,66.47245789,2143.5,68.18852234
2143.4,66.8928299,2143.4,68.70149994
2143.3,67.47205353,2143.3,69.18076324
2143.2,67.81826782,2143.2,69.74156189
2143.1,68.23081207,2143.1,69.9324646
2143.0,68.62211609,2143.0,70.38539886
2142.9,68.95184326,2142.9,71.059021
2142.8,69.48670959,2142.8,71.57896423
2142.7,69.97746277,2142.7,71.76686096
2142.6,70.28466034,2142.6,72.147789
2142.5,70.56093597,2142.5,72.80368805
2142.4,70.99784088,2142.4,73.22633362
2142.3,71.33295441,2142.3,73.2408371
2142.2,71.71769714,2142.2,73.71517181
2142.1,71.88569641,2142.1,74.13451385
2142.0,72.26141357,2142.0,74.46646118
2141.9,72.69615173,2141.9,74.80110168
2141.8,72.91021729,2141.8,74.77104187
2141.7,73.13653564,2141.7,75.59008026
2141.6,73.44868469,2141.6,75.78504181
2141.5,73.82949066,2141.5,75.92113495
2141.4,74.08211517,2141.4,76.29035187
2141.3,74.2233963,2141.3,76.67430115
2141.2,74.45107269,2141.2,76.80014801
2141.1,74.85897827,2141.1,77.06376648
2141.0,75.07592773,2141.0,77.46681213
2140.9,75.20477295,2140.9,77.71207428
2140.8,75.48053741,2140.8,77.94714355
2140.7,75.6989212,2140.7,78.04878998
2140.6,75.86779022,2140.6,78.24138641
2140.5,75.89675903,2140.5,78.50724792
2140.4,76.07900238,2140.4,78.69591522
2140.3,76.27332306,2140.3,78.68225861
2140.2,76.36488342,2140.2,78.92454529
2140.1,76.55393982,2140.1,79.22406006
2140.0,76.64507294,2140.0,79.35652161
2139.9,76.71412659,2139.9,79.26713562
2139.8,76.84977722,2139.8,79.4115448
2139.7,76.94206238,2139.7,79.63587952
2139.6,76.94793701,2139.6,79.74421692
2139.5,76.97954559,2139.5,79.58242035
2139.4,77.10057068,2139.4,79.78495026
2139.3,77.06609344,2139.3,79.87870789
2139.2,77.09915924,2139.2,79.94708252
2139.1,77.1373291,2139.1,79.8942337
2139.0,77.07376099,2139.0,79.85058594
2138.9,77.02236176,2138.9,79.92848206
2138.8,77.05200195,2138.8,79.99924469
2138.7,77.01383209,2138.7,79.80338287
2138.6,76.91392517,2138.6,79.82887268
2138.5,76.81109619,2138.5,79.84341431
2138.4,76.88742065,2138.4,79.75187683
2138.3,76.69217682,2138.3,79.51023102
2138.2,76.52622223,2138.2,79.61009979
2138.1,76.37757874,2138.1,79.3860321
2138.0,76.28900909,2138.0,79.13051605
2137.9,76.06471252,2137.9,79.18136597
2137.8,75.99292755,2137.8,79.05020142
2137.7,75.86063385,2137.7,78.87359619
2137.6,75.57584381,2137.6,78.5689621
2137.5,75.3393631,2137.5,78.34300232
2137.4,75.12531281,2137.4,78.15996552
2137.3,74.99668884,2137.3,78.0952301
2137.2,74.70475769,2137.2,77.77855682
2137.1,74.49295807,2137.1,77.50049591
2137.0,74.30599213,2137.0,77.47730255
2136.9,74.07043457,2136.9,77.06301117
2136.8,73.75218201,2136.8,76.76398468
2136.7,73.46945953,2136.7,76.63638306
2136.6,73.16796112,2136.6,76.09426117
2136.5,72.87757874,2136.5,76.02262878
2136.4,72.54938507,2136.4,75.73845673
2136.3,72.19108582,2136.3,75.35549164
2136.2,71.89348602,2136.2,75.11911011
2136.1,71.56295013,2136.1,74.73065186
2136.0,71.3177948,2136.0,74.47019958
2135.9,70.78926849,2135.9,73.99071503
2135.8,70.32360077,2135.8,73.46883392
2135.7,70.01902771,2135.7,73.15826416
2135.6,69.63209534,2135.6,72.79220581
2135.5,69.20941162,2135.5,72.26473236
2135.4,68.751297,2135.4,71.88657379
2135.3,68.42657471,2135.3,71.56512451
2135.2,67.97829437,2135.2,71.09204865
2135.1,67.64860535,2135.1,70.69365692
2135.0,67.06772614,2135.0,70.14555359
2134.9,66.56263733,2134.9,69.63845825
2134.8,66.00785065,2134.8,69.08614349
2134.7,65.73571777,2134.7,68.78873444
2134.6,65.21031189,2134.6,68.15480042
2134.5,64.60422516,2134.5,67.6943512
2134.4,64.21657562,2134.4,67.15151978
2134.3,63.80976486,2134.3,66.76852417
2134.2,62.96038055,2134.2,65.94127655
2134.1,62.49697113,2134.1,65.38487244
2134.0,61.81174088,2134.0,64.84291077
2133.9,61.2722168,2133.9,64.22277832
2133.8,60.91046143,2133.8,63.62627029
2133.7,60.26028824,2133.7,63.06661987
2133.6,59.67266083,2133.6,62.52045441
2133.5,59.20428467,2133.5,62.02380753
2133.4,58.59029388,2133.4,61.40868759
2133.3,57.78132248,2133.3,60.60934067
2133.2,57.31581879,2133.2,60.05919647
2133.1,56.61791992,2133.1,59.35767365
2133.0,55.98543167,2133.0,58.63584137
2132.9,55.23815155,2132.9,57.91964722
2132.8,54.69803619,2132.8,57.29455185
2132.7,54.11677551,2132.7,56.69803619
2132.6,53.43842316,2132.6,56.0599556
2132.5,52.72366333,2132.5,55.2101593
2132.4,51.82619095,2132.4,54.21435165
2132.3,51.14913559,2132.3,53.71322632
2132.2,50.4448967,2132.2,52.81925964
2132.1,49.7876358,2132.1,52.15690613
2132.0,48.94124222,2132.0,51.32806778
2131.9,48.41088486,2131.9,50.72140121
2131.8,47.76015854,2131.8,50.07730865
2131.7,47.07621765,2131.7,49.3392334
2131.6,46.1149826,2131.6,48.51459122
2131.5,45.46798325,2131.5,47.68388748
2131.4,44.75338364,2131.4,46.91441727
2131.3,43.9268074,2131.3,46.11893845
2131.2,43.25286865,2131.2,45.40590668
2131.1,42.5918808,2131.1,44.63561249
2131.0,41.88555908,2131.0,44.00144958
2130.9,41.15116882,2130.9,43.25610733
2130.8,40.42405319,2130.8,42.49198914
2130.7,39.29676056,2130.7,41.47148514
2130.6,38.68286133,2130.6,40.6595726
2130.5,37.90470505,2130.5,39.77810287
2130.4,37.27771378,2130.4,39.2042923
2130.3,36.40856934,2130.3,38.22134399
2130.2,35.73575974,2130.2,37.52541351
2130.1,35.17118835,2130.1,36.96918869
2130.0,34.48830032,2130.0,36.24614334
2129.9,33.61349869,2129.9,35.32821655
2129.8,32.92695999,2129.8,34.54510117
2129.7,32.19155884,2129.7,33.75643921
2129.6,31.41227722,2129.6,32.93071747
2129.5,30.81742859,2129.5,32.35348129
2129.4,30.13932037,2129.4,31.53806877
2129.3,29.43733978,2129.3,30.87859535
2129.2,28.88868141,2129.2,30.26893997
2129.1,28.1756916,2129.1,29.54307556
2129.0,27.28034019,2129.0,28.55805779
2128.9,26.66612053,2128.9,27.85854721
2128.8,25.97033691,2128.8,27.22675133
2128.7,25.3500576,2128.7,26.55493927
2128.6,24.62517929,2128.6,25.84494019
2128.5,24.00216866,2128.5,25.2031002
2128.4,23.58457375,2128.4,24.65645981
2128.3,22.87441063,2128.3,23.9736557
2128.2,22.36134148,2128.2,23.3894825
2128.1,21.60873032,2128.1,22.60775185
2128.0,21.00060844,2128.0,22.02013397
2127.9,20.32475853,2127.9,21.28592491
2127.8,19.86083984,2127.8,20.80190659
2127.7,19.16468811,2127.7,20.09834671
2127.6,18.73435593,2127.6,19.55326271
2127.5,18.27305984,2127.5,19.06333351
2127.4,17.64430046,2127.4,18.48835564
2127.3,17.00649643,2127.3,17.7134285
2127.2,16.4949646,2127.2,17.24174118
2127.1,15.93815994,2127.1,16.63487244
2127.0,15.39950943,2127.0,16.08939934
2126.9,14.97804642,2126.9,15.57667732
2126.8,14.40705967,2126.8,15.03868675
2126.7,14.00438118,2126.7,14.63243675
2126.6,13.55313206,2126.6,14.14772224
2126.5,13.15398979,2126.5,13.70725918
2126.4,12.59901333,2126.4,13.14933872
2126.3,12.15454006,2126.3,12.67129135
2126.2,11.7262125,2126.2,12.21130085
2126.1,11.29729176,2126.1,11.76268482
2126.0,10.85976696,2126.0,11.3297205
2125.9,10.49049377,2125.9,10.90325451
2125.8,10.18164635,2125.8,10.60106277
2125.7,9.765758514,2125.7,10.13955975
2125.6,9.365439415,2125.6,9.691156387
2125.5,8.864330292,2125.5,9.227243423
2125.4,8.524084091,2125.4,8.846921921
2125.3,8.141281128,2125.3,8.452537537
2125.2,7.915116787,2125.2,8.173920631
2125.1,7.47749567,2125.1,7.780749321
2125.0,7.172273636,2125.0,7.469425201
2124.9,6.936672211,2124.9,7.19641161
2124.8,6.662984848,2124.8,6.941304207
2124.7,6.321289539,2124.7,6.587203026
2124.6,6.045064926,2124.6,6.27355814
2124.5,5.744214535,2124.5,5.955404282
