sample1,,sample2,,
Wavelength (nm),%T,Wavelength (nm),%T,
2162.100098,0.1906335354,2162.100098,0.1879237294,
2162,0.1959901303,2162,0.1959481239,
2161.899902,0.2002824098,2161.899902,0.1989449114,
2161.800049,0.2088737041,2161.800049,0.2097356319,
2161.699951,0.217744261,2161.699951,0.2132005244,
2161.600098,0.2233664691,2161.600098,0.2210506052,
2161.5,0.230419606,2161.5,0.2303733081,
2161.399902,0.2407800704,2161.399902,0.2414746284,
2161.300049,0.2445854992,2161.300049,0.2441347092,
2161.199951,0.2552731931,2161.199951,0.2562837303,
2161.100098,0.2687883675,2161.100098,0.2622915506,
2161,0.2771436572,2161,0.267572403,
2160.899902,0.2871112525,2160.899902,0.2816722393,
2160.800049,0.2966285944,2160.800049,0.2918695211,
2160.699951,0.3071569502,2160.699951,0.2962502539,
2160.600098,0.3214703202,2160.600098,0.3192332983,
2160.5,0.3316627145,2160.5,0.3281164169,
2160.399902,0.3406627774,2160.399902,0.3338859975,
2160.300049,0.3564698994,2160.300049,0.3437725008,
2160.199951,0.368932128,2160.199951,0.3577263653,
2160.100098,0.3911103606,2160.100098,0.3766274452,
2160,0.4032588899,2160,0.3917057514,
2159.899902,0.4141869545,2159.899902,0.4002814591,
2159.800049,0.4398647547,2159.800049,0.4158557355,
2159.699951,0.4565593004,2159.699951,0.4338157773,
2159.600098,0.478661418,2159.600098,0.4564922452,
2159.5,0.488337189,2159.5,0.4637264311,
2159.399902,0.5083510876,2159.399902,0.4814218283,
2159.300049,0.5319657922,2159.300049,0.4999352694,
2159.199951,0.5661885738,2159.199951,0.5249974132,
2159.100098,0.5788821578,2159.100098,0.549313724,
2159,0.6055175662,2159,0.5717048645,
2158.899902,0.6327241063,2158.899902,0.5857463479,
2158.800049,0.661663413,2158.800049,0.6183560491,
2158.699951,0.6847122908,2158.699951,0.64035815,
2158.600098,0.7188845873,2158.600098,0.6666477323,
2158.5,0.745555222,2158.5,0.6919685006,
2158.399902,0.779543519,2158.399902,0.728724122,
2158.300049,0.8379682899,2158.300049,0.7642250061,
2158.199951,0.8651008606,2158.199951,0.7964128852,
2158.100098,0.9049081206,2158.100098,0.8379908204,
2158,0.9466257691,2158,0.8638647199,
2157.899902,0.9961366653,2157.899902,0.9101329446,
2157.800049,1.031934381,2157.800049,0.9449679255,
2157.699951,1.071722865,2157.699951,0.9861219525,
2157.600098,1.11903429,2157.600098,1.012937307,
2157.5,1.19365108,2157.5,1.083127737,
2157.399902,1.254436493,2157.399902,1.129636765,
2157.300049,1.296297789,2157.300049,1.176917553,
2157.199951,1.382333636,2157.199951,1.246940613,
2157.100098,1.451456904,2157.100098,1.29414618,
2157,1.524436712,2157,1.366565347,
2156.899902,1.576031566,2156.899902,1.421384335,
2156.800049,1.675971746,2156.800049,1.501113176,
2156.699951,1.749243379,2156.699951,1.565274835,
2156.600098,1.863654137,2156.600098,1.678410888,
2156.5,1.955221176,2156.5,1.737400889,
2156.399902,2.069723606,2156.399902,1.846532583,
2156.300049,2.159256935,2156.300049,1.926684618,
2156.199951,2.288487196,2156.199951,2.047198534,
2156.100098,2.36215353,2156.100098,2.121902943,
2156,2.450180292,2156,2.195539951,
2155.899902,2.604157925,2155.899902,2.338982105,
2155.800049,2.745934963,2155.800049,2.442735672,
2155.699951,2.884763002,2155.699951,2.615534544,
2155.600098,3.025647879,2155.600098,2.718516827,
2155.5,3.183800697,2155.5,2.860778332,
2155.399902,3.340173244,2155.399902,3.017519712,
2155.300049,3.563862562,2155.300049,3.208152294,
2155.199951,3.688013554,2155.199951,3.342000008,
2155.100098,3.849654198,2155.100098,3.493962526,
2155,4.084518909,2155,3.696341038,
2154.899902,4.32998085,2154.899902,3.93639946,
2154.800049,4.499409676,2154.800049,4.141382694,
2154.699951,4.73614502,2154.699951,4.292016983,
2154.600098,4.978340626,2154.600098,4.530008316,
2154.5,5.185509682,2154.5,4.808479309,
2154.399902,5.409061909,2154.399902,5.017799377,
2154.300049,5.620389938,2154.300049,5.154391766,
2154.199951,5.91769886,2154.199951,5.417891026,
2154.100098,6.130261421,2154.100098,5.750815868,
2154,6.485667706,2154,6.012609482,
2153.899902,6.729540348,2153.899902,6.290870667,
2153.800049,7.04613924,2153.800049,6.60681963,
2153.699951,7.318405628,2153.699951,6.874582291,
2153.600098,7.731285572,2153.600098,7.325191975,
2153.5,7.945536137,2153.5,7.475152016,
2153.399902,8.244235039,2153.399902,7.853806973,
2153.300049,8.684488297,2153.300049,8.159925461,
2153.199951,8.993094444,2153.199951,8.648975372,
2153.100098,9.457005501,2153.100098,8.989742279,
2153,9.804665565,2153,9.302178383,
2152.899902,10.20420265,2152.899902,9.889460564,
2152.800049,10.64788723,2152.800049,10.15564156,
2152.699951,10.97677898,2152.699951,10.59844875,
2152.600098,11.25293255,2152.600098,10.92293262,
2152.5,11.76601696,2152.5,11.29963112,
2152.399902,12.00721741,2152.399902,11.61694145,
2152.300049,12.68591881,2152.300049,12.30310631,
2152.199951,13.0975914,2152.199951,12.75833893,
2152.100098,13.41378117,2152.100098,13.05120564,
2152,13.90191936,2152,13.55270576,
2151.899902,14.53958607,2151.899902,14.26477909,
2151.800049,14.93793106,2151.800049,14.59661388,
2151.699951,15.25899792,2151.699951,14.93535233,
2151.600098,15.74822807,2151.600098,15.48654556,
2151.5,16.40253639,2151.5,16.20472145,
2151.399902,17.06255531,2151.399902,16.84646225,
2151.300049,17.44814873,2151.300049,17.20369339,
2151.199951,18.02547646,2151.199951,17.82875443,
2151.100098,18.58624458,2151.100098,18.42142105,
2151,19.16666412,2151,18.98051643,
2150.899902,19.56958389,2150.899902,19.37505531,
2150.800049,20.0414505,2150.800049,19.90276337,
2150.699951,20.59252739,2150.699951,20.47974205,
2150.600098,21.41274834,2150.600098,21.23418236,
2150.5,21.90013885,2150.5,21.8405304,
2150.399902,22.36351395,2150.399902,22.30309296,
2150.300049,23.17869949,2150.300049,23.19354057,
2150.199951,23.84802818,2150.199951,23.79133797,
2150.100098,24.28781509,2150.100098,24.34655571,
2150,24.81081009,2150,24.85260963,
2149.899902,25.56604767,2149.899902,25.61638069,
2149.800049,26.1279335,2149.800049,26.19306755,
2149.699951,26.93823051,2149.699951,26.99283028,
2149.600098,27.47177124,2149.600098,27.64392281,
2149.5,28.24727631,2149.5,28.4099884,
2149.399902,28.82701492,2149.399902,28.99054909,
2149.300049,29.49630356,2149.300049,29.72198486,
2149.199951,30.07971382,2149.199951,30.21598816,
2149.100098,30.71421432,2149.100098,30.92243576,
2149,31.37446022,2149,31.5962944,
2148.899902,32.03499222,2148.899902,32.26141739,
2148.800049,32.86826706,2148.800049,33.10431671,
2148.699951,33.49065781,2148.699951,33.80051804,
2148.600098,34.26916122,2148.600098,34.60966492,
2148.5,34.86680222,2148.5,35.20713043,
2148.399902,35.62623215,2148.399902,36.05319595,
2148.300049,36.28731537,2148.300049,36.74385452,
2148.199951,36.93603516,2148.199951,37.3669014,
2148.100098,37.5398941,2148.100098,37.92356873,
2148,38.61545944,2148,38.9911232,
2147.899902,39.22624969,2147.899902,39.75772858,
2147.800049,39.91868973,2147.800049,40.47980499,
2147.699951,40.54610825,2147.699951,41.21094131,
2147.600098,41.38828278,2147.600098,42.08017731,
2147.5,42.15071106,2147.5,42.74533463,
2147.399902,42.67541122,2147.399902,43.30331039,
2147.300049,43.39510727,2147.300049,44.0560379,
2147.199951,44.02732849,2147.199951,44.68054581,
2147.100098,44.92843628,2147.100098,45.59436417,
2147,45.4717598,2147,46.30528641,
2146.899902,46.33166885,2146.899902,47.12141037,
2146.800049,46.97266388,2146.800049,47.76656342,
2146.699951,47.75445175,2146.699951,48.5588913,
2146.600098,48.44440842,2146.600098,49.25410461,
2146.5,48.9958992,2146.5,49.88116455,
2146.399902,49.55065155,2146.399902,50.40579987,
2146.300049,50.46493912,2146.300049,51.34287643,
2146.199951,51.21456909,2146.199951,52.26680756,
2146.100098,51.7956543,2146.100098,52.75579071,
2146,52.515625,2146,53.55823517,
2145.899902,53.08911896,2145.899902,54.21524048,
2145.800049,53.84647751,2145.800049,54.91422272,
2145.699951,54.37724686,2145.699951,55.50083923,
2145.600098,54.92337799,2145.600098,56.14647675,
2145.5,55.40884018,2145.5,56.5953331,
2145.399902,56.25494766,2145.399902,57.51520538,
2145.300049,56.88951111,2145.300049,58.12386322,
2145.199951,57.53562546,2145.199951,58.8026123,
2145.100098,58.11413574,2145.100098,59.46807861,
2145,58.67804718,2145,60.0984993,
2144.899902,59.3604393,2144.899902,60.73256302,
2144.800049,59.8483429,2144.800049,61.20023727,
2144.699951,60.26452637,2144.699951,61.72930527,
2144.600098,60.85453796,2144.600098,62.38918304,
2144.5,61.69062805,2144.5,63.06907654,
2144.399902,62.1748085,2144.399902,63.69215775,
2144.300049,62.67035675,2144.300049,64.23082733,
2144.199951,63.1237793,2144.199951,64.713974,
2144.100098,63.76469803,2144.100098,65.29201508,
2144,64.14657593,2144,65.77862549,
2143.899902,64.54621887,2143.899902,66.2171936,
2143.800049,64.94817352,2143.800049,66.59127808,
2143.699951,65.74539185,2143.699951,67.2999115,
2143.600098,66.08432007,2143.600098,67.82944489,
2143.5,66.47245789,2143.5,68.18852234,
2143.399902,66.8928299,2143.399902,68.70149994,
2143.300049,67.47205353,2143.300049,69.18076324,
2143.199951,67.81826782,2143.199951,69.74156189,
2143.100098,68.23081207,2143.100098,69.9324646,
2143,68.62211609,2143,70.38539886,
2142.899902,68.95184326,2142.899902,71.059021,
2142.800049,69.48670959,2142.800049,71.57896423,
2142.699951,69.97746277,2142.699951,71.76686096,
2142.600098,70.28466034,2142.600098,72.147789,
2142.5,70.56093597,2142.5,72.80368805,
2142.399902,70.99784088,2142.399902,73.22633362,
2142.300049,71.33295441,2142.300049,73.2408371,
2142.199951,71.71769714,2142.199951,73.71517181,
2142.100098,71.88569641,2142.100098,74.13451385,
2142,72.26141357,2142,74.46646118,
2141.899902,72.69615173,2141.899902,74.80110168,
2141.800049,72.91021729,2141.800049,74.77104187,
2141.699951,73.13653564,2141.699951,75.59008026,
2141.600098,73.44868469,2141.600098,75.78504181,
2141.5,73.82949066,2141.5,75.92113495,
2141.399902,74.08211517,2141.399902,76.29035187,
2141.300049,74.2233963,2141.300049,76.67430115,
2141.199951,74.45107269,2141.199951,76.80014801,
2141.100098,74.85897827,2141.100098,77.06376648,
2141,75.07592773,2141,77.46681213,
2140.899902,75.20477295,2140.899902,77.71207428,
2140.800049,75.48053741,2140.800049,77.94714355,
2140.699951,75.6989212,2140.699951,78.04878998,
2140.600098,75.86779022,2140.600098,78.24138641,
2140.5,75.89675903,2140.5,78.50724792,
