24Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.5004- 9.3417   11.0318    10.9392     0.8466     0.0164     0.0011
 0.3800    1.5004- 9.3190    9.5954     9.5113     0.8842     0.0160     0.0010
 0.4512    1.5004- 9.3417    4.7874     4.8356    -0.9962     0.0097     0.0009
 0.4994    1.5004- 9.3417    9.1382     8.9393     2.2247     0.0101     0.0006
 0.5204    1.5004- 9.3417   10.5439    10.4401     0.9940     0.0115     0.0006
 0.6058    1.5004- 9.2965    6.2991     6.2606     0.6157     0.0078     0.0004
 0.6751    1.5004- 9.0129    7.0076     7.0055     0.0305     0.0055     0.0005
 0.7791    1.5004- 9.0341    6.2849     6.2604     0.3914     0.0062     0.0003
 0.8645    1.5004- 8.6862    7.5817     7.6417    -0.7855     0.0037     0.0006
 1.0191    1.5004- 8.9918    7.8983     7.8985    -0.0021     0.0041     0.0003
 1.2413    1.5004- 5.6179    8.3371     8.4481    -1.3136     0.0051     0.0002
 1.5585    1.5004- 9.3190    8.5731     8.7061    -1.5281     0.0029     0.0009
 2.1391    1.5004- 8.9918    6.3911     6.4441    -0.8226     0.0056     0.0006


27Aug2008   UT:     std:3
wvlmicr    airmass_range    V0_calc    V0_prev   pctdiff_V0  tau_calc   RSD_calc
 0.3535    1.8005- 9.3417   11.0196    10.9392     0.7352     0.0161     0.0010
 0.3800    1.8005- 9.3190    9.5916     9.5113     0.8438     0.0159     0.0011
 0.4512    1.8005- 9.3417    4.7886     4.8356    -0.9723     0.0098     0.0010
 0.4994    1.8005- 9.3417    9.1343     8.9393     2.1812     0.0100     0.0006
 0.5204    1.8005- 9.3417   10.5386    10.4401     0.9438     0.0114     0.0005
 0.6058    1.8005- 9.3417    6.2971     6.2606     0.5828     0.0077     0.0005
