% Radiance calibration [Resp in cts/ms / W/(m^2.sr.um)] for 4STAR NIR spectrometer (512 channels) measured on 20130506 and generated on 2013-09-17 09:47. 
% Also requires calibrated radiance from 20130605124300HISS. 
% Calibration used only data with 9-lamps and 9 ms (vis), 140 ms (nir). 
Pix  Wavelength     resp       rate        rad 
177  1248.31  1.82475049e-01 1.39650335e+02 7.65311945e+02 
178  1249.86  1.82530466e-01 1.39435950e+02 7.63905075e+02 
179  1251.41  1.82911840e-01 1.39454930e+02 7.62416094e+02 
180  1252.96  1.82874080e-01 1.39152604e+02 7.60920325e+02 
181  1254.51  1.83313176e-01 1.39212775e+02 7.59425907e+02 
182  1256.06  1.83838698e-01 1.39337386e+02 7.57932837e+02 
183  1257.61  1.83914931e-01 1.39120815e+02 7.56441111e+02 
184  1259.15  1.85084754e-01 1.39729869e+02 7.54950725e+02 
185  1260.69  1.86162692e-01 1.40235123e+02 7.53293379e+02 
186  1262.23  1.86156309e-01 1.39883627e+02 7.51431031e+02 
187  1263.77  1.85811083e-01 1.39278478e+02 7.49570344e+02 
188  1265.31  1.86455088e-01 1.39414578e+02 7.47711313e+02 
189  1266.85  1.86890805e-01 1.39393242e+02 7.45853933e+02 
190  1268.39  1.86991557e-01 1.39121382e+02 7.43998199e+02 
191  1269.92  1.87180216e-01 1.38914694e+02 7.42144106e+02 
192  1271.46  1.86829761e-01 1.38345497e+02 7.40489609e+02 
193  1272.99  1.86891808e-01 1.38084480e+02 7.38847153e+02 
194  1274.52  1.87622579e-01 1.38316518e+02 7.37206141e+02 
195  1276.05  1.88599339e-01 1.38727368e+02 7.35566567e+02 
196  1277.58  1.88155522e-01 1.38092686e+02 7.33928428e+02 
197  1279.10  1.88614516e-01 1.38120848e+02 7.32291718e+02 
198  1280.63  1.88991325e-01 1.38060178e+02 7.30510663e+02 
199  1282.15  1.88739137e-01 1.37500840e+02 7.28523203e+02 
200  1283.68  1.89070759e-01 1.37366990e+02 7.26537468e+02 
201  1285.20  1.88903763e-01 1.36870873e+02 7.24553451e+02 
202  1286.72  1.88241856e-01 1.36018134e+02 7.22571148e+02 
203  1288.24  1.88206338e-01 1.35619709e+02 7.20590554e+02 
204  1289.75  1.86993217e-01 1.34375507e+02 7.18611663e+02 
205  1291.27  1.86891594e-01 1.33883369e+02 7.16369130e+02 
206  1292.78  1.88010836e-01 1.34254215e+02 7.14077007e+02 
207  1294.30  1.87956234e-01 1.33784775e+02 7.11786843e+02 
208  1295.81  1.87677568e-01 1.33156978e+02 7.09498634e+02 
209  1297.32  1.87623441e-01 1.32689619e+02 7.07212373e+02 
210  1298.83  1.87397575e-01 1.32101808e+02 7.04928054e+02 
211  1300.34  1.86456641e-01 1.30991909e+02 7.02532814e+02 
212  1301.85  1.86659508e-01 1.30615357e+02 6.99751962e+02 
213  1303.35  1.86268224e-01 1.29824008e+02 6.96973459e+02 
214  1304.86  1.85646530e-01 1.28875319e+02 6.94197298e+02 
215  1306.36  1.85018227e-01 1.27925945e+02 6.91423473e+02 
216  1307.86  1.85486314e-01 1.27735517e+02 6.88651978e+02 
217  1309.36  1.84471334e-01 1.26525716e+02 6.85882805e+02 
218  1310.86  1.84552261e-01 1.26039819e+02 6.82949200e+02 
219  1312.36  1.84164277e-01 1.25212457e+02 6.79895462e+02 
220  1313.86  1.83696902e-01 1.24334196e+02 6.76844270e+02 
221  1315.36  1.82950354e-01 1.23271146e+02 6.73795615e+02 
222  1316.85  1.82547338e-01 1.22443534e+02 6.70749491e+02 
223  1318.34  1.81705493e-01 1.21325828e+02 6.67705891e+02 
224  1319.84  1.81883222e-01 1.20891377e+02 6.64664808e+02 
225  1321.33  1.81722209e-01 1.20132854e+02 6.61079646e+02 
226  1322.82  1.81047168e-01 1.19025805e+02 6.57429809e+02 
227  1324.30  1.80421937e-01 1.17956791e+02 6.53782974e+02 
228  1325.79  1.79938899e-01 1.16985320e+02 6.50139133e+02 
229  1327.28  1.79093442e-01 1.15783602e+02 6.46498279e+02 
230  1328.76  1.79064340e-01 1.15113374e+02 6.42860403e+02 
231  1330.25  1.78238854e-01 1.13900429e+02 6.39032550e+02 
232  1331.73  1.77761143e-01 1.12743467e+02 6.34241351e+02 
233  1333.21  1.77299723e-01 1.11602029e+02 6.29454051e+02 
234  1334.69  1.77059107e-01 1.10603626e+02 6.24670640e+02 
235  1336.17  1.76197921e-01 1.09223525e+02 6.19891108e+02 
236  1337.65  1.75736117e-01 1.08098000e+02 6.15115445e+02 
237  1339.12  1.74071108e-01 1.06243194e+02 6.10343641e+02 
238  1340.60  1.74750855e-01 1.05563194e+02 6.04078271e+02 
239  1342.07  1.74783921e-01 1.04105865e+02 5.95626098e+02 
240  1343.55  1.74272235e-01 1.02329297e+02 5.87180721e+02 
241  1345.02  1.70811469e-01 9.88557924e+01 5.78742124e+02 
242  1346.49  1.69099543e-01 9.64392096e+01 5.70310291e+02 
243  1347.96  1.65727892e-01 9.31200504e+01 5.61885205e+02 
244  1349.43  1.62093110e-01 8.97131630e+01 5.53466849e+02 
245  1350.89  1.58137518e-01 8.61499490e+01 5.44778685e+02 
246  1352.36  1.52261568e-01 8.15999197e+01 5.35919344e+02 
247  1353.82  1.47991161e-01 7.80012638e+01 5.27067046e+02 
248  1355.29  1.45033444e-01 7.51594892e+01 5.18221777e+02 
249  1356.75  1.43015294e-01 7.28496340e+01 5.09383519e+02 
250  1358.21  1.38626729e-01 6.93899224e+01 5.00552257e+02 
251  1359.67  1.35203313e-01 6.64832511e+01 4.91727975e+02 
252  1361.13  1.32873148e-01 6.47313518e+01 4.87166541e+02 
253  1362.59  1.31903244e-01 6.38219957e+01 4.83854634e+02 
